UserID,c,privacy,quality
210,5.0,5.01708321836893,2.5020358571912844
210,10.0,10.004993292536524,0.6894395646815249
210,15.0,15.02177666511394,0.06710775477950423
210,20.0,20.005846751302986,3.3659123995780744e-13
210,25.0,25.02414189733419,0.029207377893084693
210,30.0,26.972781301914686,0.0
210,35.0,25.00536881457251,0.012958846190393461
210,40.0,23.382167082077704,9.27976097006633e-12
210,45.0,26.61814078000527,4.679112473342087e-11
210,50.0,25.75529746079425,1.0753271373923184e-11
